Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, male",SP.POP.TOTL.MA.IN,China,CHN,644931057,649783015,654286852,658502230,662546994,666566056,670397796,674017492,677590179,681059114,684433912,688232696,692938430,697569984,701947368,705965479,709903858,714009290,717099161,719412319,720786535,721006989,720456300,719169536,717753173
"Population, male",SP.POP.TOTL.MA.IN,Cote d'Ivoire,CIV,8895207,9133072,9369369,9603509,9836981,10072183,10309923,10550398,10815156,11105397,11401454,11702300,12001380,12294107,12612624,12966286,13331786,13697423,14056256,14413901,14767493,15121701,15491846,15869633,16246681
"Population, male",SP.POP.TOTL.MA.IN,Cameroon,CMR,7402949,7603274,7813274,8032587,8259516,8493481,8733151,8984300,9247586,9518543,9796361,10079150,10368264,10664978,10993641,11344974,11689960,12026768,12364936,12713836,13064540,13415332,13772296,14140585,14514341
"Population, male",SP.POP.TOTL.MA.IN,"Congo, Dem. Rep.",COD,24987038,25793297,26594994,27384570,28206336,29091169,30007351,30934868,31887904,32894105,33964787,35103738,36301648,37563541,38864907,40175367,41630029,43187408,44662433,46104700,47616599,49185125,50798301,52483883,54216832
"Population, male",SP.POP.TOTL.MA.IN,"Congo, Rep.",COG,1567367,1628784,1668686,1716978,1777731,1843982,1915267,1987462,2054563,2138890,2229859,2303914,2369540,2428079,2487644,2548660,2611267,2675610,2741740,2808562,2876520,2946068,3017464,3091229,3166095
"Population, male",SP.POP.TOTL.MA.IN,Colombia,COL,19411115,19708939,20005151,20301319,20595401,20880218,21153219,21416887,21670024,21918269,22163441,22396798,22616962,22827016,23026431,23221563,23448707,23789069,24229130,24664044,25013101,25273270,25533693,25818556,26095271
"Population, male",SP.POP.TOTL.MA.IN,Comoros,COM,263993,270197,276779,282498,287906,294034,300233,306493,312871,319396,326068,332922,339950,347714,356095,364397,372617,380484,388069,395681,403523,411524,419558,427697,435815
"Population, male",SP.POP.TOTL.MA.IN,Cabo Verde,CPV,222057,226100,230121,233959,237640,241215,244737,248191,251493,254591,256964,258083,258510,258836,259089,259335,259635,260042,260565,261208,261787,262888,264410,265691,266947
"Population, male",SP.POP.TOTL.MA.IN,Costa Rica,CRI,1955690,1990209,2022714,2053493,2083366,2113180,2142452,2171084,2200182,2229289,2256689,2283070,2309765,2335593,2360755,2385764,2409720,2432341,2454074,2474298,2490812,2502349,2512039,2523133,2534728
"Population, male",SP.POP.TOTL.MA.IN,Cuba,CUB,5578929,5589389,5599564,5610062,5619685,5626237,5628734,5627645,5624560,5620775,5616912,5613783,5611512,5608014,5600578,5593658,5586840,5575242,5561949,5546807,5530297,5497667,5461345,5438940,5416880
"Population, male",SP.POP.TOTL.MA.IN,Curacao,CUW,62389,60034,60006,61090,61987,63437,64953,66107,66798,67083,67778,68518,69074,70110,71262,72354,73213,73493,75288,75535,73637,72451,71330,74106,74200
"Population, male",SP.POP.TOTL.MA.IN,Cayman Islands,CYM,19437,20151,20869,21585,22291,23002,23722,24450,25185,25929,26679,27467,28292,29112,29925,30727,31512,32283,33041,33786,34513,35243,35969,36676,37375
"Population, male",SP.POP.TOTL.MA.IN,Cyprus,CYP,481676,489869,498433,507399,516457,525528,534596,543672,552752,561858,571052,580274,589502,598543,607316,616000,624634,633043,641146,649029,656652,663943,670825,677602,684248
"Population, male",SP.POP.TOTL.MA.IN,Czechia,CZE,4992561,4976605,4970910,4973399,4978744,4989646,5007417,5040781,5086751,5119889,5138869,5152428,5161869,5166233,5174257,5187182,5199879,5216277,5236223,5259110,5273457,5178895,5261543,5356990,5366194
"Population, male",SP.POP.TOTL.MA.IN,Germany,DEU,40012676,40080182,40155137,40165960,40148878,40097557,40098225,40127064,40059906,39928618,39844741,39148009,39307033,39505086,39731726,40209411,40638749,40801842,40935223,41031295,41060242,41072019,41369285,41426726,41238833
"Population, male",SP.POP.TOTL.MA.IN,Djibouti,DJI,371669,383697,395834,404786,411031,417458,425642,434897,443866,453134,462375,471410,480386,489296,498099,506738,515247,523678,532032,540277,548317,556130,563858,571602,579313
"Population, male",SP.POP.TOTL.MA.IN,Dominica,DMA,33959,33863,33941,34063,34161,34246,34316,34361,34383,34406,34425,34514,34545,34776,35035,35065,34773,34342,34194,34052,33900,33710,33498,33298,33102
"Population, male",SP.POP.TOTL.MA.IN,Denmark,DNK,2639215,2649233,2658273,2666242,2673672,2681552,2691261,2704663,2722326,2737594,2749827,2761538,2772660,2785446,2801573,2824417,2848991,2868222,2882655,2892868,2900774,2913810,2935909,2955957,2970888
"Population, male",SP.POP.TOTL.MA.IN,Dominican Republic,DOM,4294340,4361464,4426511,4489829,4551209,4610699,4668382,4725305,4783565,4843755,4904853,4965802,5026206,5085957,5145013,5203140,5259814,5315838,5371949,5426421,5480943,5535229,5586214,5634533,5681194
"Population, male",SP.POP.TOTL.MA.IN,Algeria,DZA,15925099,16136100,16342428,16551159,16774177,17011030,17264374,17545719,17861443,18202087,18554453,18914428,19287278,19672215,20068367,20476385,20894164,21316231,21724797,22118793,22490324,22848428,23206874,23549235,23874384
"Population, male",SP.POP.TOTL.MA.IN,Ecuador,ECU,6343673,6454328,6567993,6684584,6802233,6920222,7039369,7159809,7282106,7406566,7531114,7655261,7777938,7895413,8009667,8125597,8245438,8372918,8517638,8661859,8760001,8821568,8888825,8964951,9041130
"Population, male",SP.POP.TOTL.MA.IN,"Egypt, Arab Rep.",EGY,37085728,37884068,38686754,39500066,40316294,41129624,41923213,42696483,43472207,44273478,45104003,46048544,47092941,48189501,49290447,50313586,51327304,52358181,53361197,54305284,55193553,56026138,56867200,57830587,58840145
"Population, male",SP.POP.TOTL.MA.IN,Eritrea,ERI,1096507,1129129,1169826,1220522,1272943,1304622,1325992,1346093,1382874,1418871,1447728,1474564,1493996,1512848,1523405,1528741,1538459,1551427,1572793,1596682,1622323,1651920,1681805,1712524,1745353
"Population, male",SP.POP.TOTL.MA.IN,Spain,ESP,19914814,20055119,20359794,20765105,21162239,21560238,21952718,22389510,22771075,22967319,23052739,23111849,23097470,22981049,22885319,22850656,22852275,22891035,22983377,23144075,23260046,23299623,23464878,23738661,23962115
"Population, male",SP.POP.TOTL.MA.IN,Estonia,EST,651133,646694,642114,637689,633556,629786,626053,623129,621672,621055,620256,618933,617177,615557,614662,615923,617129,619342,623419,627522,629931,631170,640136,650852,652333
"Population, male",SP.POP.TOTL.MA.IN,Ethiopia,ETH,33640493,34709319,35813001,36940037,38088967,39258804,40449674,41668087,42902254,44145198,45420163,46735469,48068955,49395636,50737959,52115091,53539959,55012166,56508480,58042248,59626568,61227788,62841233,64486162,66167290
"Population, male",SP.POP.TOTL.MA.IN,Finland,FIN,2526248,2533557,2541371,2549037,2557593,2567286,2578114,2590345,2604302,2618447,2631847,2645603,2659707,2673597,2686203,2696751,2706952,2715752,2721217,2725782,2731048,2738486,2746486,2759480,2786289
"Population, male",SP.POP.TOTL.MA.IN,Fiji,FJI,424726,429254,433658,437966,442227,446449,450646,454597,457183,458461,459388,460003,460246,460254,460158,459885,459495,458613,457086,455233,454673,455108,456267,458652,460973
"Population, male",SP.POP.TOTL.MA.IN,France,FRA,29552867,29755132,29959666,30161243,30370620,30584787,30796512,30993290,31167182,31328695,31487956,31639565,31793390,31961757,32107190,32205870,32293424,32396242,32514459,32632722,32745186,32868819,32983228,33098317,33215814
"Population, male",SP.POP.TOTL.MA.IN,Faroe Islands,FRO,23661,24136,24521,24904,25108,25110,25106,25122,25201,25334,25093,24888,24817,24846,24983,25247,25526,25886,26328,26772,27190,27591,27916,28155,28273
"Population, male",SP.POP.TOTL.MA.IN,"Micronesia, Fed. Sts.",FSM,56000,56172,56231,56159,55973,55697,55318,54846,54336,53804,53569,53645,53737,53846,53981,54135,54309,54507,54710,54888,55187,55517,55739,55975,56217
"Population, male",SP.POP.TOTL.MA.IN,Gabon,GAB,631439,649099,667617,687084,707736,729918,753833,779523,806924,836247,867784,901448,936678,972535,1007653,1040772,1071513,1100240,1128011,1155601,1182718,1209288,1235742,1262242,1288745
"Population, male",SP.POP.TOTL.MA.IN,United Kingdom,GBR,28548939,28682562,28826723,28981945,29166834,29386494,29624501,29881244,30143152,30395758,30663244,30931756,31173051,31402457,31660986,31919868,32205169,32400670,32572535,32757025,32829768,32961192,33275081,33718583,34087728
"Population, male",SP.POP.TOTL.MA.IN,Georgia,GEO,1862171,1828622,1809763,1799828,1793895,1787123,1780844,1774947,1772832,1760927,1752219,1741929,1732660,1730852,1733308,1735901,1736728,1736703,1735795,1732608,1733482,1727156,1729714,1731528,1712513
"Population, male",SP.POP.TOTL.MA.IN,Ghana,GHA,9776449,10044029,10328145,10614701,10903249,11196556,11495055,11798710,12105190,12414043,12722558,13034541,13355706,13683015,14011629,14339499,14670408,14996562,15311203,15621430,15934246,16247587,16560812,16877545,17194242
"Population, male",SP.POP.TOTL.MA.IN,Gibraltar,GIB,13841,13773,13847,14085,14320,14555,14780,14992,15196,15406,15614,15818,16008,16192,16390,16579,16808,17092,17385,17690,18015,18345,18714,19145,19575
"Population, male",SP.POP.TOTL.MA.IN,Guinea,GIN,4153561,4195316,4252148,4349627,4442860,4528891,4621488,4729733,4846819,4967855,5092882,5222338,5353654,5487720,5628060,5776303,5931410,6089984,6252164,6420519,6592746,6766588,6943315,7122533,7301267
"Population, male",SP.POP.TOTL.MA.IN,"Gambia, The",GMB,720159,739916,760096,780936,802707,825528,849637,874923,901053,927966,955722,984485,1014346,1044926,1075505,1105721,1135527,1164889,1193734,1222459,1251981,1282181,1312497,1343260,1374334
"Population, male",SP.POP.TOTL.MA.IN,Guinea-Bissau,GNB,600123,613443,627531,642380,657878,674030,691044,709057,727785,747150,767354,788455,810363,832883,855698,878606,901568,924392,947166,970157,993130,1016116,1039679,1063795,1088010
"Population, male",SP.POP.TOTL.MA.IN,Equatorial Guinea,GNQ,353644,378509,404314,431163,459198,485230,509389,535116,562446,591288,621391,650850,679392,708474,737972,767639,797279,826744,855950,884853,908719,929916,952684,974877,997748
"Population, male",SP.POP.TOTL.MA.IN,Greece,GRC,5330938,5360299,5380500,5392323,5403568,5416611,5427832,5434398,5440579,5446255,5444087,5424661,5379893,5323415,5273218,5227181,5202575,5194991,5188126,5190618,5184802,5120513,5054741,5039990,5032215
"Population, male",SP.POP.TOTL.MA.IN,Grenada,GRD,54367,54701,54936,55209,55468,55708,55937,56158,56370,56575,56765,56989,57280,57584,57853,58064,58223,58306,58360,58428,58550,58680,58735,58747,58755
"Population, male",SP.POP.TOTL.MA.IN,Greenland,GRL,30059,30138,30227,30282,30329,30318,30210,30069,29931,29911,29996,30163,30104,29897,29761,29648,29681,29667,29581,29675,29736,29873,29859,29936,29884
"Population, male",SP.POP.TOTL.MA.IN,Guatemala,GTM,5820706,5954733,6091516,6228913,6367420,6505127,6642626,6782532,6921788,7059729,7199889,7344104,7491294,7638663,7784435,7928078,8075277,8223378,8361649,8489879,8613994,8730024,8851469,8989012,9129191
"Population, male",SP.POP.TOTL.MA.IN,Guam,GUM,81831,82471,83010,83469,83846,84158,84425,84665,84900,85155,85319,85285,85121,84875,84570,84211,83804,83358,82877,82361,82450,83157,83818,84416,84988
"Population, male",SP.POP.TOTL.MA.IN,Guyana,GUY,381302,381460,381363,381135,380570,379600,378445,377226,375935,374507,372894,371129,370380,370840,371563,372499,373583,374785,387895,396396,394212,397649,400371,402457,404584
"Population, male",SP.POP.TOTL.MA.IN,"Hong Kong SAR, China",HKG,3249168,3258683,3257289,3234544,3243141,3240425,3245071,3258421,3264042,3256807,3265875,3273857,3298900,3301809,3313807,3330366,3340644,3359275,3380177,3398163,3378536,3344789,3313817,3397208,3389467
"Population, male",SP.POP.TOTL.MA.IN,Honduras,HND,3314481,3405758,3497403,3588783,3679828,3770614,3860878,3950828,4040649,4130183,4218983,4307051,4394931,4482584,4569951,4657396,4745211,4833257,4921871,5011091,5098597,5182860,5269396,5359700,5449967
"Population, male",SP.POP.TOTL.MA.IN,Croatia,HRV,2147477,2066635,2067466,2067465,2068175,2071227,2072489,2073182,2073646,2072143,2067929,2060392,2050452,2038201,2023071,1999343,1977881,1946474,1921132,1902289,1885719,1869094,1858433,1861175,1865047
"Population, male",SP.POP.TOTL.MA.IN,Haiti,HTI,4122966,4199617,4275598,4351730,4426857,4502158,4579322,4657051,4735059,4813660,4872137,4929397,5005575,5080399,5154152,5227303,5299422,5370387,5440296,5509161,5575373,5637251,5698315,5761588,5825356
"Population, male",SP.POP.TOTL.MA.IN,Hungary,HUN,4860364,4846265,4829677,4813185,4800502,4790720,4783639,4776001,4767829,4761394,4751721,4740985,4720179,4699778,4683419,4670403,4655886,4644103,4640937,4641871,4634198,4617399,4607131,4602840,4591619
"Population, male",SP.POP.TOTL.MA.IN,Indonesia,IDN,108231132,109769637,111293086,112801378,114274956,115781562,117351072,118935475,120510948,122069952,123641334,125252610,126895691,128498712,130033009,131513675,132946469,134322386,135637607,136916976,138073249,139031455,140070494,141255767,142407916
"Population, male",SP.POP.TOTL.MA.IN,Isle of Man,IMN,36982,37460,37916,38354,38782,39204,39653,40135,40630,41133,41644,41911,41867,41746,41603,41435,41364,41447,41553,41623,41663,41670,41675,41683,41666
"Population, male",SP.POP.TOTL.MA.IN,India,IND,547253435,557645082,567873061,577829968,587765466,597426194,606815988,615977570,624851766,633887204,643098086,652190185,661116668,669876677,678266110,686298737,694417091,702419096,710050159,717351064,724175467,729924103,735531456,741883264,748323427
"Population, male",SP.POP.TOTL.MA.IN,Ireland,IRL,1891482,1922138,1954025,1986486,2026280,2076244,2137735,2199990,2240067,2256974,2264961,2271546,2278841,2289733,2304647,2326161,2357196,2389860,2425590,2464674,2495456,2530300,2580981,2627523,2663329
"Population, male",SP.POP.TOTL.MA.IN,"Iran, Islamic Rep.",IRN,33706229,34208673,34476479,34911989,35781536,36700649,37608743,38249028,38662380,39096913,39544583,39994680,40473403,40996659,41544502,42109315,42709537,43317276,43861795,44325041,44652495,45006117,45529146,46061602,46532057
"Population, male",SP.POP.TOTL.MA.IN,Iraq,IRQ,12118085,12512852,12925102,13328425,13717305,14131738,14234444,14118889,14408603,14958799,15462978,16032329,16790539,17615561,18261598,18779104,19240431,19678203,20151959,20627994,21099579,21586716,22099525,22614115,23111081
"Population, male",SP.POP.TOTL.MA.IN,Iceland,ISL,140756,142648,143854,144831,146273,149171,153871,158719,161466,160984,159954,160164,160876,162352,164227,166203,169122,174287,180191,184861,187964,190908,195691,201394,207180
"Population, male",SP.POP.TOTL.MA.IN,Israel,ISR,3104888,3178942,3243836,3303543,3363254,3423826,3485640,3548837,3613267,3701984,3771588,3843181,3916145,3991328,4070178,4153033,4237046,4322447,4409260,4497069,4579637,4659605,4754582,4901890,4966369
"Population, male",SP.POP.TOTL.MA.IN,Italy,ITA,27574847,27590249,27648965,27809474,28032605,28207948,28322823,28491099,28705028,28864720,28981778,29075788,29165574,29241651,29259381,29235207,29215253,29204796,29316363,29130883,28998396,28862431,28813924,28815309,28829387
"Population, male",SP.POP.TOTL.MA.IN,Jamaica,JAM,1291943,1300709,1309197,1317547,1325562,1333057,1339955,1346234,1351956,1357428,1363046,1368889,1374777,1380361,1385344,1389648,1393180,1395853,1397648,1398755,1401936,1404823,1404988,1404742,1403966
"Population, male",SP.POP.TOTL.MA.IN,Jordan,JOR,2820229,2872657,2928268,2989005,3058414,3132320,3336084,3540719,3621982,3697653,3775114,3867150,3919531,4133022,4557937,4951939,5188008,5302585,5417196,5522154,5618293,5718054,5812290,5903251,5957377
"Population, male",SP.POP.TOTL.MA.IN,Japan,JPN,62386184,62508467,62622176,62722148,62707798,62675164,62677599,62716772,62713467,62671554,62649708,62512793,62402451,62301670,62208573,62138522,62105698,62049687,61966362,61875900,61682937,61380214,61088674,60771087,60480020
"Population, male",SP.POP.TOTL.MA.IN,Kazakhstan,KAZ,7336216,7372863,7412497,7459283,7516157,7581581,7655343,7739868,7837296,7942051,8048620,8160108,8278128,8402375,8532339,8667148,8808359,8954451,9111411,9283243,9452899,9601078,9748452,9897043,10029906
"Population, male",SP.POP.TOTL.MA.IN,Kenya,KEN,15224637,15717172,16226686,16742084,17276859,17822201,18379151,18947276,19533328,20135424,20730324,21308755,21871029,22416778,22944358,23456597,23976290,24499409,24995719,25485390,25983597,26473100,26980543,27517012,28056072
"Population, male",SP.POP.TOTL.MA.IN,Kyrgyz Republic,KGZ,2326571,2354484,2382258,2413864,2450078,2485098,2525097,2567947,2610732,2656158,2697679,2741344,2799023,2865849,2933379,3002245,3068637,3129545,3193307,3263531,3329323,3389069,3449173,3510290,3571420
"Population, male",SP.POP.TOTL.MA.IN,Cambodia,KHM,5992837,6096565,6200467,6303710,6406267,6509662,6616551,6725386,6837984,6953160,7065974,7177648,7289438,7402332,7515814,7629180,7744218,7854501,7954395,8057385,8180637,8306910,8421853,8533951,8642987
"Population, male",SP.POP.TOTL.MA.IN,Kiribati,KIR,43237,44062,45008,45957,46894,47840,48791,49775,50814,51901,52962,53831,54519,55157,55758,56367,57121,57987,58859,59751,60859,62041,63132,64231,65279
"Population, male",SP.POP.TOTL.MA.IN,St. Kitts and Nevis,KNA,22549,22813,22924,22971,23003,23022,23047,23072,23089,23084,22999,22985,23038,23020,22992,22948,22893,22831,22758,22681,22589,22483,22415,22408,22423
"Population, male",SP.POP.TOTL.MA.IN,"Korea, Rep.",KOR,24010410,24188087,24306978,24413705,24492190,24524772,24636227,24747386,24923739,25041620,25153809,25305966,25372267,25422026,25517037,25592311,25658061,25713287,25808281,25881248,25892321,25836875,25785791,25813829,25830846
"Population, male",SP.POP.TOTL.MA.IN,Kuwait,KWT,1143130,1177683,1211472,1244303,1275901,1320684,1385706,1457171,1528877,1601004,1675765,1785282,1912336,2019550,2128009,2252760,2387825,2521594,2662147,2740088,2681545,2645375,2802181,2968226,3039680
"Population, male",SP.POP.TOTL.MA.IN,Lao PDR,LAO,2735686,2781605,2826924,2870812,2912707,2956515,3003126,3049366,3095464,3141613,3187793,3233964,3280206,3326527,3372532,3421845,3475459,3530142,3585087,3639812,3693722,3746469,3799149,3851871,3904034
